Valor función objetivo: 34605.8215184595
Suma de distancias: 7900.4605997721

Distancia minima: 0.3255284254
Distancia maxima: 25.4208278385
Distancia promedio: 2.4704379612

Pocisiones ambulancias:
Longitud Latitud
-102.2899626416 21.7246831173
-102.1836643885 21.8144871310
-102.4049095913 21.7116274593
-102.3685530220 21.8829489645
-102.2021713142 21.9705110106
-102.2532383868 21.8469679379
-102.2695880981 21.8126261809
-102.2741336202 21.9568146053
-102.3497610445 21.7967450633
-102.2980671924 21.9251458252
-102.2882810249 21.8303880097
-102.3455662857 21.8548478185
-102.3224724622 21.8422214826
-102.2481906278 21.9144412608
-102.2570050180 21.9069919548
-102.2823952837 21.9334897330
-102.2694226143 21.8541087974
-102.3141280778 21.8723087249
-102.2894261335 21.8605626698
-102.2907746723 21.8447809094
-102.2296065714 21.8627331819
-102.2480563979 21.9375337438
-102.2663323756 21.9273522037
-102.2534103725 21.8917622841
-102.3172853563 21.8860922956
-102.2418561609 21.8694803325
-102.2253509739 21.8841731219
-102.2800293461 21.8991211583
-102.2973904055 21.9417571326
-102.2594333787 21.9421013992
-102.2521389514 21.9292577919
-102.3067169149 21.8946561855
-102.3230910442 21.9333683308
-102.3327739130 21.8736163911
-102.2865267556 21.9152204007
-102.3453083390 21.8955274276
-102.3157266374 21.9149864697
-102.2605603969 21.9316115222
-102.2884014316 21.9017811200
-102.2416800793 21.8894729850
-102.2619483883 21.8855538634
-102.2958790761 21.8782411459
-102.2536967336 21.8611346734
-102.3140081541 21.8591558911
-102.3174084587 21.8962532762
-102.2539690542 21.8998884561
-102.2983374690 21.8996066525
-102.2924297551 21.9081463308
-102.3015266509 21.9343541618
-102.2909493509 21.9388668467
-102.2730009914 21.8718551871
-102.2511797272 21.8739151754
-102.2405504105 21.9249176441
-102.2753569154 21.9139144504
-102.2441279094 21.9051846396
-102.2688996998 21.9031661051
-102.2603946036 21.9124715891
-102.2616167235 21.9205570332
-102.2702342679 21.8927300378
-102.2919643497 21.9154446695
-102.2725945932 21.9086996689
-102.2949614144 21.8882970214
-102.3330554701 21.9163945244
-102.3076284335 21.9078280514
-102.2974693535 21.9156756741
-102.2912917419 21.9309819650
-102.3029799647 21.9245515563
-102.2788268241 21.9415363375
-102.2656062129 21.9358431100
-102.3130294785 21.9243434795
-102.3057834921 21.9159757234
-102.2917781322 21.9241670379
-102.2820854224 21.8813214360
-102.2810092380 21.9149953211
-102.2833189320 21.9249109637
