Valor función objetivo: 60251.3799325898
Suma de distancias: 11131.3906074117

Distancia minima: 0.4958973366
Distancia maxima: 36.0099600174
Distancia promedio: 3.4807350242

Pocisiones ambulancias:
Longitud Latitud
-102.2996214453 21.7278163172
-102.2432769501 21.8668487006
-102.3214395506 21.8506428803
-102.2619007290 21.9339044698
-102.3193953448 21.8825023851
-102.2552078071 21.9014969540
-102.3040172605 21.9228336245
-102.2767536598 21.8255823506
-102.2847545149 21.8710833153
-102.2880317932 21.9066617947
