Valor función objetivo: 43102.7908500367
Suma de distancias: 9267.8360366832

Distancia minima: 0.8686036547
Distancia maxima: 29.1535688501
Distancia promedio: 2.8980100177

Pocisiones ambulancias:
Longitud Latitud
-102.2900550031 21.7246843762
-102.2648609983 21.8539850584
-102.3746972767 21.7620321728
-102.2021959999 21.9706208024
-102.3561273037 21.8710305300
-102.1846998763 21.8132602991
-102.2788221322 21.9415338711
-102.2719486914 21.8146020928
-102.3253674172 21.8403038079
-102.3137069415 21.9164398509
-102.2907726814 21.8447817773
-102.3156909252 21.8659724844
-102.2948050850 21.9266927550
-102.2543977638 21.9084796172
-102.3338996752 21.9226365430
-102.2784898185 21.8789133455
-102.2403797943 21.8706511729
-102.2604194973 21.9315604448
-102.2528607549 21.8890585557
-102.2957955790 21.8778852241
-102.3171664507 21.8885849859
-102.2723080331 21.9002099940
-102.2955626272 21.8967500664
-102.2937604481 21.9124641807
-102.2810073489 21.9149941257
