Valor función objetivo: 53309.1545184020
Suma de distancias: 10249.7472353704

Distancia minima: 0.6863947618
Distancia maxima: 34.8236564292
Distancia promedio: 3.2050491668

Pocisiones ambulancias:
Longitud Latitud
-102.3111110883 21.7261650878
-102.2430800058 21.8623219575
-102.3363929484 21.8408816926
-102.2571215396 21.9333950640
-102.3237459153 21.8870212339
-102.2487927620 21.8866317501
-102.2809318432 21.9397344382
-102.2690163073 21.8120651272
-102.3123629990 21.8645933140
-102.3137758502 21.9186692697
-102.2822254323 21.8484732879
-102.2957046466 21.8884157123
-102.2891253025 21.9143732351
-102.2570017194 21.9069896531
-102.2794771559 21.8784422986
