LONGITUD,LATITUD
-102.335925,21.881931
-102.333730,21.873707
-102.333272,21.879772
-102.312491,21.889773
-102.316914,21.889708
-102.331163,21.873096
-102.318061,21.879031
-102.310981,21.895141
-102.319155,21.891266
-102.311943,21.879544
-102.312605,21.897474
-102.316914,21.889708
-102.317285,21.886094
-102.317125,21.881028
-102.318266,21.876316
-102.317022,21.892616
-102.317021,21.893541
-102.358267,21.909446
-102.367778,21.882669
-102.316982,21.891712
-102.333730,21.873707
-102.312451,21.885474
-102.317285,21.886094
-102.317050,21.894464
-102.339735,21.890561
-102.310220,21.894294
-102.310981,21.895141
-102.316935,21.888482
-102.321240,21.893490
-102.317285,21.886094
-102.312491,21.889773
-102.317285,21.886094
-102.317285,21.886094
-102.317285,21.886094
-102.312451,21.885474
-102.318266,21.876316
-102.310981,21.895141
-102.359500,21.880630
-102.317160,21.878492
-102.326219,21.882454
-102.368560,21.882951
-102.310981,21.895141
-102.317920,21.880632
-102.316935,21.888482
-102.317507,21.884998
-102.317920,21.880632
-102.317285,21.886094
-102.312451,21.885474
-102.317285,21.886094
-102.317046,21.898504
-102.317057,21.894818
-102.317285,21.886094
-102.316975,21.891387
-102.312341,21.878926
-102.317021,21.893541
-102.340834,21.892834
-102.317285,21.886094
-102.317285,21.886094
-102.343313,21.876168
-102.368561,21.882951
-102.328429,21.872378
-102.335285,21.879398
-102.318139,21.877996
-102.316914,21.889708
-102.317067,21.896847
-102.317046,21.898504
-102.320074,21.897274
-102.317285,21.886094
-102.317062,21.896395
-102.319264,21.897848
-102.317285,21.886094
-102.331298,21.873057
-102.312451,21.885474
-102.317285,21.886094
-102.312389,21.879555
-102.317046,21.898504
-102.317067,21.896847
-102.317285,21.886094
-102.312491,21.889773
-102.312451,21.885474
-102.314802,21.895268
-102.317507,21.884998
-102.317285,21.886094
-102.317285,21.886094
-102.317285,21.886094
-102.316914,21.889708
-102.317285,21.886094
-102.310981,21.895141
-102.333060,21.883149
-102.315068,21.899714
-102.318103,21.878475
-102.310981,21.895141
-102.332067,21.873331
-102.317387,21.886130
-102.337965,21.874734
-102.343743,21.876445
-102.368559,21.882954
-102.327094,21.872015
-102.368559,21.882952
-102.357697,21.907392
-102.316878,21.891565
-102.317020,21.893072
-102.368708,21.888649
-102.316914,21.889708
-102.310981,21.895141
-102.318061,21.879030
-102.317067,21.896847
-102.316941,21.888681
-102.322439,21.898176
-102.317046,21.898504
-102.336289,21.871776
-102.317285,21.886094
-102.331542,21.874185
-102.316668,21.901204
-102.368560,21.882952
-102.317285,21.886094
-102.312389,21.879555
-102.335432,21.882455
-102.353561,21.909209
-102.317046,21.895438
-102.322477,21.886642
-102.312451,21.885474
-102.322477,21.886642
-102.312371,21.881946
-102.318103,21.878475
-102.330419,21.905280
-102.317067,21.896847
-102.311935,21.894039
-102.317285,21.886094
-102.312451,21.885474
-102.316563,21.880638
-102.336365,21.883319
-102.332645,21.873313
-102.317918,21.881797
-102.339310,21.892931
-102.339310,21.892931
-102.312353,21.880319
-102.310981,21.895141
-102.317583,21.883623
-102.310345,21.882094
-102.345818,21.892784
-102.317652,21.884623
-102.368560,21.882948
-102.317067,21.896847
-102.352319,21.878572
-102.312389,21.879555
-102.317027,21.894015
-102.333730,21.873707
-102.317021,21.893541
-102.345819,21.892785
-102.368560,21.882953
-102.363234,21.881636
-102.317285,21.886094
-102.312451,21.885474
-102.318231,21.876750
-102.329077,21.872531
-102.318273,21.877387
-102.332943,21.882688
-102.317050,21.894464
-102.323362,21.896758
-102.316914,21.889708
-102.316935,21.888482
-102.317285,21.886094
-102.316975,21.891387
-102.312389,21.879555
-102.310542,21.881223
-102.312451,21.885474
-102.343226,21.876309
-102.317046,21.898504
-102.312447,21.882693
-102.318110,21.877238
-102.328067,21.882760
-102.317046,21.898507
-102.312452,21.885476
-102.332624,21.873397
-102.312452,21.885476
-102.309990,21.890682
-102.330126,21.872735
-102.333731,21.873709
-102.310982,21.895141
-102.317067,21.896848
-102.330288,21.904658
-102.312407,21.880659
-102.314571,21.900424
-102.331298,21.873058
-102.354865,21.879241
-102.337511,21.874765
-102.311935,21.894039
-102.312491,21.889773
-102.324048,21.899025
-102.311288,21.895569
-102.317285,21.886094
-102.317285,21.886094
-102.312451,21.885474
-102.312471,21.884610
-102.317285,21.886094
-102.333730,21.873707
-102.366962,21.893384
-102.332625,21.873397
-102.312389,21.879555
-102.324054,21.899022
-102.337483,21.874760
