LONGITUD,LATITUD
-102.256031,21.927197
-102.266561,21.937760
-102.264050,21.925422
-102.253675,21.929462
-102.260560,21.931611
-102.267145,21.928043
-102.248535,21.940071
-102.266331,21.927349
-102.265122,21.926631
-102.267306,21.937299
-102.265369,21.934234
-102.200323,21.998700
-102.261616,21.920557
-102.258099,21.941043
-102.259045,21.930781
-102.258610,21.934556
-102.198705,21.936146
-102.268124,21.923154
-102.261507,21.935707
-102.258097,21.943033
-102.266561,21.937760
-102.262649,21.928258
-102.262217,21.922764
-102.261277,21.922643
-102.261830,21.932275
-102.248882,21.926153
-102.262068,21.922424
-102.254036,21.937866
-102.263429,21.930464
-102.246105,21.937225
-102.267145,21.928043
-102.265580,21.938430
-102.264077,21.931269
-102.261616,21.920557
-102.265369,21.934234
-102.213451,21.960430
-102.256360,21.938816
-102.261616,21.920557
-102.266331,21.927349
-102.265120,21.926635
-102.252899,21.932347
-102.263189,21.933024
-102.261616,21.920558
-102.261025,21.932313
-102.267145,21.928043
-102.264278,21.933635
-102.267924,21.924258
-102.248882,21.926153
-102.264278,21.933635
-102.263336,21.924672
-102.262883,21.929719
-102.261501,21.940742
-102.249959,21.938702
-102.256265,21.929862
-102.204349,21.997015
-102.267866,21.931561
-102.261970,21.937286
-102.186354,21.953277
-102.259447,21.942104
-102.204440,21.997025
-102.265303,21.926456
-102.267700,21.928578
-102.267878,21.924557
-102.237304,21.928270
-102.267700,21.928578
-102.262215,21.940312
-102.254239,21.933110
-102.252089,21.924837
-102.269862,21.931385
-102.261825,21.932271
-102.261616,21.920557
-102.261792,21.921559
-102.238315,21.927341
-102.266331,21.927349
-102.267700,21.928578
-102.248882,21.926153
-102.244100,21.941107
-102.261616,21.920557
-102.261825,21.932271
-102.241736,21.922629
-102.265159,21.928736
-102.257091,21.947186
-102.263189,21.933024
-102.249462,21.936034
-102.261616,21.920557
-102.258457,21.926401
-102.260161,21.931386
-102.262802,21.935975
-102.258097,21.943033
-102.258043,21.935207
-102.249462,21.936034
-102.266331,21.927349
-102.260473,21.927502
-102.258043,21.935207
-102.264278,21.933635
-102.250302,21.925806
-102.178719,21.957717
-102.268003,21.923839
-102.262510,21.927723
-102.215131,21.959170
-102.261616,21.920557
-102.264278,21.933635
-102.259333,21.929555
-102.260560,21.931611
-102.260161,21.931386
-102.178712,21.957708
-102.200322,21.998699
-102.262215,21.940312
-102.242753,21.937119
-102.266176,21.930630
-102.259447,21.942104
-102.261792,21.921559
-102.251832,21.932741
-102.247984,21.939046
-102.263336,21.924672
-102.267145,21.928043
-102.253482,21.937044
-102.262548,21.934052
-102.260560,21.931611
-102.261616,21.920557
-102.259787,21.937899
-102.264671,21.938867
-102.247765,21.932844
-102.231176,21.931811
-102.257463,21.947682
-102.215131,21.959170
-102.265580,21.938430
-102.260560,21.931611
-102.256868,21.934584
-102.264050,21.925422
-102.242676,21.938466
-102.242713,21.924729
-102.266330,21.927349
-102.240556,21.924917
-102.262217,21.922765
-102.241737,21.922630
-102.240557,21.924918
-102.266332,21.927349
-102.254665,21.945360
-102.238343,21.927313
-102.247705,21.936311
-102.262217,21.922764
-102.258693,21.930584
-102.246781,21.928953
-102.261616,21.920557
-102.267145,21.928043
-102.261187,21.940939
-102.267624,21.923076
-102.260560,21.931611
-102.253399,21.933997
-102.267700,21.928578
-102.217257,21.959527
