LONGITUD,LATITUD
-102.244234,21.909578
-102.272593,21.908696
-102.259194,21.902261
-102.245784,21.914258
-102.257000,21.906991
-102.257000,21.906991
-102.252012,21.912387
-102.258117,21.906581
-102.269288,21.895281
-102.267525,21.894691
-102.267525,21.894691
-102.263702,21.910347
-102.252012,21.912387
-102.256223,21.907649
-102.272593,21.908696
-102.260709,21.913326
-102.255783,21.906266
-102.275201,21.898495
-102.254472,21.901774
-102.261683,21.919326
-102.263695,21.915667
-102.273919,21.902813
-102.261680,21.919326
-102.248055,21.914305
-102.267013,21.903817
-102.257000,21.906991
-102.253420,21.897810
-102.275239,21.901919
-102.258797,21.909044
-102.249541,21.902928
-102.261770,21.905496
-102.253428,21.898249
-102.245466,21.917434
-102.245728,21.901649
-102.273036,21.909981
-102.250346,21.916801
-102.264754,21.904537
-102.270191,21.902798
-102.248279,21.903678
-102.241405,21.906100
-102.260110,21.897023
-102.260809,21.904272
-102.253420,21.897810
-102.262218,21.906246
-102.256349,21.901330
-102.243133,21.909438
-102.270191,21.902798
-102.270631,21.909793
-102.257000,21.906991
-102.254884,21.902233
-102.246339,21.907680
-102.272593,21.908696
-102.257000,21.906991
-102.245466,21.917434
-102.258904,21.897238
-102.261770,21.905496
-102.270531,21.895636
-102.250730,21.904203
-102.252651,21.902307
-102.250638,21.913074
-102.242992,21.905463
-102.271960,21.903055
-102.270191,21.902798
-102.256415,21.916597
-102.263401,21.904986
-102.257000,21.906991
-102.258618,21.906484
-102.256522,21.906029
-102.248493,21.903639
-102.258479,21.903618
-102.252012,21.912387
-102.252012,21.912387
-102.268904,21.903181
-102.271074,21.896764
-102.260302,21.905956
-102.267525,21.894691
-102.233744,21.911107
-102.257000,21.906991
-102.266350,21.912281
-102.260977,21.914176
-102.245466,21.917434
-102.248203,21.902387
-102.271074,21.896764
-102.238037,21.911499
-102.258946,21.907052
-102.261770,21.905496
-102.248462,21.917251
-102.253420,21.897810
-102.269415,21.895314
-102.257000,21.906991
-102.259833,21.905169
-102.257000,21.906991
-102.245494,21.909644
-102.263402,21.904986
-102.246460,21.904312
-102.253420,21.897810
-102.245052,21.904071
-102.246460,21.904312
-102.254472,21.901774
-102.272593,21.908696
-102.267525,21.894691
-102.255677,21.904229
-102.264297,21.904617
-102.270706,21.899427
-102.257000,21.906991
-102.259793,21.906222
-102.255783,21.906266
-102.252012,21.912387
-102.248279,21.903678
-102.258765,21.909016
-102.253431,21.909908
-102.271595,21.902990
-102.270531,21.895636
-102.254919,21.909046
-102.263401,21.904985
-102.257000,21.906991
-102.242990,21.905460
-102.255352,21.903213
-102.267013,21.903817
-102.273919,21.902813
-102.256122,21.900915
-102.267525,21.894691
-102.270191,21.902798
-102.272593,21.908696
-102.262514,21.896683
-102.260130,21.897459
-102.264754,21.904537
-102.255785,21.897773
-102.240670,21.913041
-102.260390,21.912470
-102.255145,21.903152
-102.262038,21.917771
-102.271595,21.902990
-102.260390,21.912470
-102.270191,21.902798
-102.262217,21.906248
-102.248054,21.914303
-102.247403,21.914795
-102.272593,21.908696
-102.251435,21.914498
-102.255783,21.906266
-102.270706,21.899427
-102.259145,21.900715
-102.255995,21.910553
-102.270706,21.899427
-102.237649,21.911582
-102.257000,21.906991
-102.253520,21.899503
-102.267525,21.894691
-102.256223,21.907649
-102.267124,21.903860
-102.270191,21.902798
-102.244494,21.901992
-102.272593,21.908696
-102.257000,21.906991
-102.266937,21.895367
-102.260136,21.918908
-102.267507,21.908455
-102.273436,21.896480
-102.266745,21.894490
-102.254918,21.909047
-102.239847,21.906615
-102.259197,21.909488
-102.246486,21.910394
-102.272593,21.908696
-102.243333,21.908818
-102.261770,21.905496
-102.274891,21.898723
-102.240742,21.917666
-102.263402,21.904986
-102.261126,21.914604
-102.260390,21.912470
-102.261770,21.905496
-102.257000,21.906991
-102.248279,21.903678
-102.248874,21.916299
-102.255740,21.909112
-102.275239,21.901919
-102.253420,21.897810
-102.272593,21.908696
-102.253520,21.899503
-102.259890,21.910414
-102.243248,21.901895
-102.262204,21.917299
-102.268904,21.903181
-102.258618,21.906484
-102.255677,21.904229
-102.244494,21.901992
-102.259144,21.900716
-102.245466,21.917434
-102.274891,21.898723
-102.261697,21.910675
-102.253420,21.897810
-102.266937,21.895367
-102.259146,21.900716
-102.249340,21.906501
-102.260390,21.912470
-102.259981,21.911184
-102.252012,21.912387
-102.266651,21.904915
-102.245466,21.917434
-102.267525,21.894691
-102.272593,21.908696
-102.274891,21.898723
-102.270706,21.899427
-102.268904,21.903181
-102.266417,21.895676
-102.266433,21.903927
-102.258619,21.906485
-102.263293,21.917943
-102.261770,21.905496
-102.260335,21.911724
-102.244160,21.904808
-102.271074,21.896766
-102.244159,21.904808
-102.260062,21.894944
-102.266351,21.912279
-102.243768,21.911951
-102.251290,21.916576
-102.267528,21.894691
-102.253730,21.905995
-102.248054,21.914305
-102.264561,21.894588
-102.249893,21.903162
-102.270192,21.902799
-102.248495,21.903642
-102.260302,21.905956
-102.257000,21.906991
-102.265448,21.896277
-102.272230,21.899980
-102.260390,21.912470
-102.253833,21.911116
-102.270706,21.899427
-102.251812,21.902549
-102.270191,21.902798
-102.256248,21.897693
-102.261474,21.915656
-102.251342,21.910890
-102.250110,21.900995
-102.267525,21.894691
-102.267525,21.894691
-102.267013,21.903817
-102.260709,21.913326
-102.251907,21.897296
-102.258618,21.906484
-102.242990,21.905460
-102.246162,21.906305
-102.260390,21.912470
-102.248021,21.900080
-102.242997,21.910141
-102.272233,21.899976
-102.256614,21.907097
